ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01 00:06:40,3.067579965813269,-89.78002669921837,94.46251900587946,3.067579965813269,3.067579965813269,0.0,0.0,0.0,0.0,0.0,0.0,3.067579965813269
2025-01-01 00:06:45,3.004244632877891,-84.45455460842788,90.8622719553037,3.004244632877891,3.004244632877891,0.0,0.0,0.0,0.0,0.0,0.0,3.004244632877891
2025-01-01 00:06:50,2.9409092999425126,-83.68652837415063,98.23998492912236,2.9409092999425126,2.9409092999425126,0.0,0.0,0.0,0.0,0.0,0.0,2.9409092999425126
2025-01-01 00:06:55,2.8775739670071356,-88.61764318952228,98.76917571224742,2.8775739670071356,2.8775739670071356,0.0,0.0,0.0,0.0,0.0,0.0,2.8775739670071356
2025-01-01 00:07:00,2.8142386340717858,-84.85523890356522,91.73771756253477,2.8142386340717858,2.8142386340717858,0.0,0.0,0.0,0.0,0.0,0.0,2.8142386340717858
2025-01-01 00:07:05,2.762230509262458,-88.05729438206967,88.29274266215714,2.762230509262458,2.762230509262458,0.0,0.0,0.0,0.0,0.0,0.0,2.762230509262458
2025-01-01 00:07:10,2.710222384453132,-88.24330549359289,87.16181189572474,2.710222384453132,2.710222384453132,0.0,0.0,0.0,0.0,0.0,0.0,2.710222384453132
2025-01-01 00:07:15,2.6582142596438043,-84.81242754771367,84.65246511939635,2.6582142596438043,2.6582142596438043,0.0,0.0,0.0,0.0,0.0,0.0,2.6582142596438043
2025-01-01 00:07:20,2.606206134834476,-93.44634444950506,88.88472255762355,2.606206134834476,2.606206134834476,0.0,0.0,0.0,0.0,0.0,0.0,2.606206134834476
2025-01-01 00:07:25,2.5541980100251487,-89.72369204545083,92.35521965993456,2.5541980100251487,2.5541980100251487,0.0,0.0,0.0,0.0,0.0,0.0,2.5541980100251487
2025-01-01 00:07:30,2.502189885215822,-84.43104771701378,91.28389329636485,2.502189885215822,2.502189885215822,0.0,0.0,0.0,0.0,0.0,0.0,2.502189885215822
2025-01-01 00:07:35,2.450181760406487,-88.48163767216239,88.71978125972629,2.450181760406487,2.450181760406487,0.0,0.0,0.0,0.0,0.0,0.0,2.450181760406487
