pid,cpu_percent,memory_percent,name
14976,0.0,0.010875454634148003,backgroundTaskHost.exe
15144,0.0,0.046591712806249276,svchost.exe
15252,2.3,0.18235242166205656,FileCoAuth.exe
15260,0.0,0.08323250627163381,svchost.exe
15288,0.0,0.42219634064064937,powershell.exe
15292,0.0,0.044012745935511716,cmd.exe
15312,0.0,0.058707991123487985,svchost.exe
15480,0.0,0.042090685720528064,conhost.exe
15836,0.0,0.41358356448743155,powershell.exe
15896,0.0,0.04084986203743735,conhost.exe
15900,0.0,0.1704794421062082,ApplicationFrameHost.exe
16124,0.0,0.06856159095979658,svchost.exe
16164,0.0,0.455284972189735,powershell.exe
